time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-01-27,1370.34,1211.1,1365.58,4386512.11,5585114470.11,1241.31,direct,
2021-01-28,1359.51,1219.16,1241.31,3174523.89,4163801109.43,1329.07,direct,
2021-01-29,1434.93,1290.24,1329.07,4827418.33,6577751585.27,1379.09,direct,
2021-01-30,1405.65,1327.17,1379.09,2568755.58,3492032258.98,1377.27,direct,
2021-01-31,1379.89,1283.1,1377.27,2241931.78,2990326995.23,1312.51,direct,
2021-02-01,1376.53,1271.16,1312.51,2582180.33,3415604369.1,1373.88,direct,
2021-02-02,1546.97,1362.59,1373.88,4100973.99,5937905124.81,1511.9,direct,
2021-02-03,1668.01,1509.12,1511.9,3235696.44,5096265530.76,1664.29,direct,
2021-02-04,1693.78,1560.67,1664.29,3500238.84,5725661669.96,1596.41,direct,
2021-02-05,1760.08,1591.94,1596.41,2643083.72,4447966172.93,1719.61,direct,
2021-02-06,1743.23,1645.88,1719.61,2494109.82,4208252506.67,1676.84,direct,
2021-02-07,1692.28,1500.47,1676.84,2938615.37,4688033099.01,1611.92,direct,
2021-02-08,1771.6,1565.87,1611.92,2746660.5,4604005993.78,1749.83,direct,
2021-02-09,1819.98,1709.53,1749.83,2590657.8,4545930195.71,1769.38,direct,
2021-02-10,1834.97,1682.28,1769.38,2438739.48,4306339016.04,1741.19,direct,
2021-02-11,1815.14,1704.44,1741.19,1933516.7,3419571009.68,1785.99,direct,
2021-02-12,1862.11,1740.57,1785.99,2129864.85,3824244959.83,1840.36,direct,
2021-02-13,1870.79,1767.95,1840.36,1827765.81,3322803075.2,1815.45,direct,
2021-02-14,1849.76,1786.39,1815.45,1592677.93,2900970541.69,1800.6,direct,
2021-02-15,1835.05,1669.98,1800.6,2270697.74,4017355673.05,1778.98,direct,
2021-02-16,1826.61,1726.2,1778.98,1965940.83,3501747269.02,1781.83,direct,
2021-02-17,1853.74,1733.79,1781.83,1905067.23,3437396841.52,1848.7,direct,
2021-02-18,1949.96,1848.7,1848.7,2029806.16,3871037529.14,1939.56,direct,
2021-02-19,1970.36,1893.66,1939.56,1745707.12,3374233000.78,1955.11,direct,
2021-02-20,2039.33,1848.98,1955.11,2628651.38,5194873719.3,1907.54,direct,
2021-02-21,1975.13,1887.47,1907.54,1600813.86,3107784190.91,1933.1,direct,
2021-02-22,1935.15,1633.47,1933.1,3485934.44,6207315857.83,1777.63,direct,
2021-02-23,1781.46,1372.67,1777.63,5089204.39,7895756239.66,1577.93,direct,
2021-02-24,1711.98,1501.15,1577.93,2971060.66,4847831182.52,1623.55,direct,
2021-02-25,1668.18,1459.81,1623.55,2287559.87,3652236029.63,1479.78,direct,
2021-02-26,1561.65,1400.73,1479.78,3000145.74,4432220363.44,1444.07,direct,
2021-02-27,1528.04,1426.74,1444.07,2057226.8,3050475246.74,1458.35,direct,
2021-02-28,1467.89,1293.58,1458.35,3062182.63,4192465283.3,1418.92,direct,
2021-03-01,1571.43,1410.06,1418.92,2451752.45,3674532398.56,1569.72,direct,
2021-03-02,1602.15,1456.32,1569.72,2241143.3,3442975583.73,1486.97,direct,
2021-03-03,1656.12,1476.23,1486.97,2362250.76,3746490221.92,1568.44,direct,
2021-03-04,1624.04,1506.52,1568.44,2183076.22,3407108402.07,1539.15,direct,
2021-03-05,1548.44,1442.41,1539.15,2098840.07,3125527325.59,1528.71,direct,
2021-03-06,1670.31,1514.03,1528.71,2413286.96,3823850852.5,1650.04,direct,
2021-03-07,1732.86,1631.62,1650.04,2003115.21,3340426566.08,1726.71,direct,
2021-03-08,1842.2,1665.26,1726.71,2500042.93,4338710487.86,1832.64,direct,
2021-03-09,1870.0,1800.09,1832.64,1931253.01,3537363517.04,1870.0,direct,
2021-03-10,1876.06,1758.55,1870.0,2061345.72,3750555682.82,1795.33,direct,
2021-03-11,1846.11,1727.51,1795.33,1933426.04,3459543544.36,1825.42,direct,
2021-03-12,1841.12,1724.78,1825.42,1784116.96,3166944224.55,1767.03,direct,
2021-03-13,1943.42,1728.76,1767.03,1900106.33,3518341090.37,1921.58,direct,
2021-03-14,1932.33,1838.62,1921.58,1432736.68,2696024120.78,1848.88,direct,
2021-03-15,1890.83,1742.07,1848.88,2213938.75,3983228130.82,1793.26,direct,
2021-03-16,1818.7,1714.44,1793.26,1817222.42,3228367841.83,1804.89,direct,
2021-03-17,1838.24,1743.0,1804.89,1554409.95,2779067349.59,1823.48,direct,
2021-03-18,1849.44,1760.33,1823.48,1408109.83,2548460634.96,1776.35,direct,
2021-03-19,1839.72,1739.58,1776.35,1269016.88,2288188221.84,1809.2,direct,
2021-03-20,1867.81,1801.31,1809.2,1190422.15,2183495716.93,1805.31,direct,
2021-03-21,1816.52,1750.57,1805.31,1211912.26,2161256516.2,1783.27,direct,
2021-03-22,1806.68,1658.93,1783.27,1423327.95,2491764279.07,1680.91,direct,
2021-03-23,1720.56,1652.27,1680.91,1357464.66,2294173308.41,1668.56,direct,
2021-03-24,1740.13,1553.22,1668.56,1585593.32,2629082476.21,1582.19,direct,
2021-03-25,1621.77,1549.86,1582.19,1548323.97,2462765584.31,1586.13,direct,
2021-03-26,1699.06,1586.04,1586.13,1419195.46,2323124290.46,1698.77,direct,
2021-03-27,1731.64,1666.9,1698.77,1043961.38,1772894310.3,1712.87,direct,
2021-03-28,1724.88,1662.02,1712.87,850550.96,1445213226.07,1686.6,direct,
2021-03-29,1840.15,1677.81,1686.6,1509790.71,2671790422.61,1816.69,direct,
2021-03-30,1858.26,1787.49,1816.69,1450354.92,2648935979.08,1840.4,direct,
2021-03-31,1945.92,1782.26,1840.4,1750235.47,3251459484.94,1918.87,direct,
2021-04-01,1982.78,1900.85,1918.87,1690138.34,3280281935.74,1968.07,direct,
2021-04-02,2145.48,1949.24,1968.07,1911537.93,3878883940.93,2133.87,direct,
2021-04-03,2137.97,2004.62,2133.87,1604619.97,3335965399.88,2009.14,direct,
